author,date,source,summary,title,url
Associated Press,24/09/2017,fox-news,"Fox News Eurofighter pilot killed during air show crash in Italy Fox News A Eurofighter jet performing in an air show on the coast at Terracina, south of Rome, crashes in the sea, killing the pilot, Sunday, Sept. 24, 2017. The air force said the body of the p…",Eurofighter pilot killed during air show crash in Italy - Fox News,http://www.foxnews.com/world/2017/09/24/eurofighter-pilot-killed-during-air-show-in-italy.html
Anthony Ruggiero,24/09/2017,fox-news,Fox News Why Trump's economic moves against North Korea may do more to tame Kim than any insult Fox News China's announcement Saturday that it would halt exports of some petroleum products to North Korea and stop importing textiles from the rogue nation is ju…,Why Trump's economic moves against North Korea may do more to tame Kim than any insult - Fox News,http://www.foxnews.com/opinion/2017/09/24/why-trumps-economic-moves-against-north-korea-may-do-more-to-tame-kim-than-any-insult.html
Associated Press,24/09/2017,fox-news,"Alternative for Germany was founded four years ago at the height of the eurozone crisis, when opposition to a German bailout of other countries using the common currency was strong.",5 things to know about Germany's surging nationalist party,http://www.foxnews.com/world/2017/09/24/5-things-to-know-about-germanys-surging-nationalist-party.html
Associated Press,24/09/2017,fox-news,Authorities in Greece say that a Bulgarian woman has been killed and her husband hospitalized after diving to a great depth off Greece's northern coast.,Woman dies in northern Greece after deep dive,http://www.foxnews.com/world/2017/09/24/woman-dies-in-northern-greece-after-deep-dive.html
Associated Press,24/09/2017,fox-news,"Fox News Latest: Right-wing activist holds short California rally Fox News Milo Yiannopoulos was whisked away in a car after a brief appearance at the University of California, Berkeley that drew a few dozen supporters and a slightly larger crowd protesting t…",Latest: Right-wing activist holds short California rally - Fox News,http://www.foxnews.com/us/2017/09/24/latest-crowds-gather-ahead-uc-berkeley-right-wing-rally.html
Associated Press,24/09/2017,fox-news,"Italy's air force says a Eurofighter jet performing in an air show south of Rome has crashed in the sea, killing the pilot.","Italy air force Eurofighter crashes at air show, pilot dead",http://www.foxnews.com/world/2017/09/24/italy-air-force-eurofighter-crashes-at-air-show-pilot-dead.html
Fox News,24/09/2017,fox-news,Protests rippling across the NFL on Sunday weren't limited to owners and players taking a knee or locking arms.,Watch: National anthem singer at Falcons-Lions game takes a knee on word 'brave',http://www.foxnews.com/sports/2017/09/24/watch-national-anthem-singer-at-falcons-lions-game-takes-knee-on-word-brave.html
Associated Press,24/09/2017,fox-news,The Our Lady of Angels Church has survived several major earthquakes.,Mexico quake leaves country's historic churches battered,http://www.foxnews.com/world/2017/09/24/mexico-quake-leaves-countrys-historic-churches-battered.html
Fox News,24/09/2017,fox-news,"Fox News End of world still coming, Christian numerologists say -- it was just postponed Fox News Saturday passed without the world coming to an end, but we're not out of the woods yet. The Doomsday writer who claimed that the world would end on Sept. 23 now …","End of world still coming, Christian numerologists say -- it was just postponed - Fox News",http://www.foxnews.com/us/2017/09/24/end-world-still-coming-christian-numerologists-say-it-was-just-postponed.html
Fox News,24/09/2017,fox-news,"Top Trump administration officials on Sunday were defending the president's remarks this weekend about NFL players kneeling during the national anthem, disagreeing with arguments that Trump is trying to stifle free speech or make the issue about race. ""I thin…","Officials defend Trump on kneeling NFL players, say issue not about race, free speech",http://www.foxnews.com/politics/2017/09/24/officials-defend-trump-on-kneeling-nfl-players-say-issue-not-about-race-free-speech.html
Fox News,26/09/2017,fox-news,"Alejandro Villanueva, a former Army Ranger and the only Pittsburgh Steeler seen standing during the national anthem on Sunday against the Chicago Bears, told reporters he “unintentionally” threw his teammates under the bus. In a news conference on Monday, Vil…",Steelers' Alejandro Villanueva on standing for anthem: 'I made my teammates look bad',http://www.foxnews.com/sports/2017/09/25/steelers-alejandro-villanueva-on-standing-for-anthem-made-my-teammates-looks-bad.html
Fox News,25/09/2017,fox-news,Ben Roethlisberger said he regrets that the Pittsburgh Steelers didn't stand on the field during the national anthem on Sunday.,Ben Roethlisberger says he regrets not standing on field during national anthem,http://www.foxnews.com/sports/2017/09/25/ben-roethlisberger-says-regrets-not-standing-on-field-during-national-anthem.html
Associated Press,25/09/2017,fox-news,Haaretz UN envoy says Israel ignoring UN demand to halt settlements Fox News UNITED NATIONS – The U.N. envoy for the Mideast says Israel isn't complying with a U.N. Security Council resolution demanding a halt to all settlement activity and is continuing sett…,UN envoy says Israel ignoring UN demand to halt settlements - Fox News,http://www.foxnews.com/world/2017/09/25/un-envoy-says-israel-ignoring-un-demand-to-halt-settlements.html
Associated Press,25/09/2017,fox-news,Chelsea Manning said Monday she was denied entry into Canada because of her criminal record in the United States.,Chelsea Manning says she was denied entry to Canada,http://www.foxnews.com/world/2017/09/25/chelsea-manning-says-was-denied-entry-to-canada.html
Fox News,25/09/2017,fox-news,"Imagine this: a dystopian world where speech is highly regulated by a controlling “Big Brother” who teaches and curates young minds, but only allows one train of thought to run on its track, forcing people to go into hiding and to withdraw their viewpoints.","MAGA singer asks, 'Are we living in 1984?' as Free Speech Week goes kaput",http://www.foxnews.com/opinion/2017/09/25/maga-singer-asks-are-living-in-1984-as-free-speech-week-goes-kaput.html
Associated Press,25/09/2017,fox-news,Authorities in the central Mexico state of Puebla say gunmen have shot to death three young women and two men while wounding three others during an attack on a house.,"Attackers shoot 3 women, 2 men to death at house in Mexico",http://www.foxnews.com/world/2017/09/25/attackers-shoot-3-women-2-men-to-death-at-house-in-mexico.html
Fox News,25/09/2017,fox-news,"Sen. Susan Collins, R-Maine, said Monday she will vote against the latest ObamaCare repeal bill, effectively killing the Graham-Cassidy legislation.","Collins says no on ObamaCare repeal bill, effectively derailing Graham-Cassidy legislation",http://www.foxnews.com/politics/2017/09/25/collins-says-no-on-obamacare-repeal-bill-effectively-derailing-graham-cassidy-legislation.html
Associated Press,25/09/2017,fox-news,"Fox News Puerto Rico is in the dark in wake of Hurricane Maria Fox News SAN JUAN, Puerto Rico – Every night since Hurricane Maria hit, Miguel Martinez and his family have slept on mattresses on the porch to escape the heat inside their dark, stifling home. Bu…",Puerto Rico is in the dark in wake of Hurricane Maria - Fox News,http://www.foxnews.com/world/2017/09/25/puerto-rico-is-in-dark-in-wake-hurricane-maria.html
Fox News,25/09/2017,fox-news,"The coach of the San Antonio Spurs thinks the U.S. is ""an embarrassment to the world.” Gregg Popovich, NBA head coach of the San Antonio Spurs, reportedly made the comment during the team's media day on Monday in regards to the recent battle between professio…",NBA coach labels US 'an embarrassment to the world',http://www.foxnews.com/sports/2017/09/25/nba-coach-labels-us-embarrassment-to-world.html
Fox News,26/09/2017,fox-news,When I was eight years old “football” Sunday was more important than “cartoon” Saturday. When I was 48 years old I played my last alumni football game. I am a disabled vet with a broken vertebrae and several herniated discs who walks funny like most old footb…,I'm done with the NFL,http://www.foxnews.com/opinion/2017/09/26/im-done-with-nfl.html
Associated Press,26/09/2017,fox-news,Iran's deputy foreign minister is pointing at the United States while warning that a new nuclear arms race and a new competition to modernize nuclear weapons are starting.,Iran points at US and warns of new nuclear arms race,http://www.foxnews.com/world/2017/09/26/iran-points-at-us-and-warns-new-nuclear-arms-race.html
Fox News,26/09/2017,fox-news,A married mother who set up a fake Facebook profile to seemingly entice a teenage boy into engaging in sexual activity with her was sentenced Tuesday to three years in prison.,"Married mom, 44, who created fake Facebook account posing as teen girl to entice 15-year-old boy, is sentenced",http://www.foxnews.com/world/2017/09/26/married-mother-44-created-fake-facebook-account-posing-as-teen-girl-to-entice-15-year-old-boy.html
Brian Flood,26/09/2017,fox-news,"Fox News Embarrassment as Washington Post corrects its 'scoop' about Obama, Facebook and Russia Fox News The story detailed how then-President Obama gave Facebook CEO Mark Zuckerberg a “wake-up call” regarding fake news spreading on his social media platform.…","Embarrassment as Washington Post corrects its 'scoop' about Obama, Facebook and Russia - Fox News",http://www.foxnews.com/politics/2017/09/26/embarrassment-as-washington-post-corrects-its-scoop-about-obama-facebook-and-russia.html
Benjamin Hall,26/09/2017,fox-news,"ISIS is still dangerous in parts of Iraq – and in Kiruk, they’re just across from the Kurdish frontlines.","After vote, defiant Iraqi Kurds say they are ready to fight for independence",http://www.foxnews.com/world/2017/09/26/after-vote-defiant-iraqi-kurds-say-are-ready-to-fight-for-independence.html
Fox News,26/09/2017,fox-news,"Senate Republicans said Tuesday they no longer plan to vote on the Graham-Cassidy bill that would have dismantled ObamaCare, after several GOP senators said they would not support the measure.",Senate Republicans won't vote on last-ditch bill to dismantle ObamaCare,http://www.foxnews.com/politics/2017/09/26/senate-republicans-wont-vote-on-last-ditch-bill-to-dismantle-obamacare.html
news@military-inc.com(Lukas Mikelionis),27/09/2017,fox-news,"The messages and images posted by Second Lt. Spenser Rapone have rocked the military community, prompting an investigation.","West Point Grad Condemned for Pro-Communist Photos, Messages",http://www.foxnews.com/us/2017/09/27/west-point-grad-condemned-for-pro-communist-photos-messages.html
Associated Press,27/09/2017,fox-news,Gov. Jerry Brown signed legislation Wednesday to move up California's 2020 presidential primary in a bid to give the nation's most populous state more sway in choosing the Republican and Democratic nominees.,California moves up 2020 presidential primary,http://www.foxnews.com/politics/2017/09/27/california-moves-up-2020-presidential-primary.html
Associated Press,27/09/2017,fox-news,The women working at ABC Toys on the second floor of a nondescript office building in Mexico City's working-class Obrera neighborhood drew so little attention to themselves that when the building collapsed in last week's powerful quake few living nearby could…,Migrant quest for Mexican dream cut short in quake,http://www.foxnews.com/world/2017/09/27/migrant-quest-for-mexican-dream-cut-short-in-quake.html
Fox News,27/09/2017,fox-news,Fifty-five percent of voters in the latest Fox News poll see kneeling during the national anthem as an inappropriate form of protest.,Fox News Poll: Views shift on kneeling during national anthem,http://www.foxnews.com/us/2017/09/27/fox-news-poll-views-shift-on-kneeling-during-national-anthem.html
Associated Press,27/09/2017,fox-news,It was debuts and fresh faces at Paris Fashion Week Wednesday as Lanvin's new designer unveiled his first collection and Lacoste returned to the French capital.,Jean Reno talks seduction at Lanvin designer's Paris debut,http://www.foxnews.com/world/2017/09/27/jean-reno-talks-seduction-at-lanvin-designers-paris-debut.html
Fox News,28/09/2017,fox-news,"Fox News Judge rules Black Lives Matter cannot be sued after cop files lawsuit Fox News A judge in Louisiana ruled Thursday that Black Lives Matter is not an entity that can be sued. He also cleared DeRay Mckesson, an activist with the movement, saying he was…",Judge rules Black Lives Matter cannot be sued after cop files lawsuit - Fox News,http://www.foxnews.com/us/2017/09/28/judge-rules-black-lives-matter-cannot-be-sued-after-cop-files-lawsuit.html
Lucas Tomlinson,28/09/2017,fox-news,"Fox News US Air Force Academy: Racist slurs written on 5 black cadet doors at prep school Fox News Col. Gerald Szybist, U.S. Air Force Academy Preparatory School commander, speaks during a dedication ceremony honoring Capt. David Lyon, the Class of 2016 Exemp…",US Air Force Academy: Racist slurs written on 5 black cadet doors at prep school - Fox News,http://www.foxnews.com/us/2017/09/28/us-air-force-academy-racist-slurs-written-on-5-black-cadet-doors-at-prep-school.html
Fox News,28/09/2017,fox-news,"Fox News ICE arrests nearly 450 illegal immigrants in sanctuary city raids Fox News The raid, referred to as “Operation 'Safe City'” in a news release, spanned four days in cities through the U.S., and ended Wednesday. Illegal immigrants with criminal charges…",ICE arrests nearly 450 illegal immigrants in sanctuary city raids - Fox News,http://www.foxnews.com/us/2017/09/28/ice-arrests-nearly-450-illegal-immigrants-in-sanctuary-city-raids.html
Associated Press,28/09/2017,fox-news,"Palestinian President Mahmoud Abbas has condemned a deadly Palestinian shooting attack that killed three Israelis, two days after it took place.",Abbas condemns Palestinian attack that killed 3 Israelis,http://www.foxnews.com/world/2017/09/28/abbas-condemns-palestinian-attack-that-killed-3-israelis.html
Fox News,28/09/2017,fox-news,"Nearly 100 dead animals were discovered in a Vermont woman’s trailer after her landlord smelled a horrendous stench and found flies coming from the mobile home, police said Thursday. The landlord made the gruesome discovery last week when he peered into the S…",Nearly 100 dead animals found in woman?s trailer: cops,http://www.foxnews.com/us/2017/09/28/vermont-woman-charged-after-80-dead-animals-found-in-trailer.html
Associated Press,28/09/2017,fox-news,The Netherlands and several Western allies have dropped their call for an international Commission of Inquiry to monitor human rights violations in war-torn Yemen.,"Dutch, allies drop call for inquiry into Yemen rights abuses",http://www.foxnews.com/world/2017/09/28/dutch-allies-drop-call-for-inquiry-into-yemen-rights-abuses.html
Brian Flood,28/09/2017,fox-news,"Fox News Real news did more damage than fake news on Election Day Fox News The mainstream media is trying to blame Russian Twitter bots and bogus Facebook pages for spreading fake news that cost Hillary Clinton the election, but there remains little-to-no evi…",Real news did more damage than fake news on Election Day - Fox News,http://www.foxnews.com/politics/2017/09/28/real-news-did-more-damage-than-fake-news-on-election-day.html
Dana Blanton,28/09/2017,fox-news,"A large majority of American voters feels the bonds that hold the country together are weakening, while over half think the world is going to hell in a handbasket.",Fox News Poll: World going to hell in a handbasket as nation comes apart at seams,http://www.foxnews.com/politics/2017/09/28/fox-news-poll-world-going-to-hell-in-handbasket-as-nation-comes-apart-at-seams.html
Victoria Balara,28/09/2017,fox-news,"Large majorities of voters favor granting work permits or citizenship to illegal immigrants who were brought to the United States as children, according to the latest Fox News poll.",Fox News Poll: 83 percent support pathway to citizenship for illegal immigrants,http://www.foxnews.com/politics/2017/09/28/fox-news-poll-83-percent-support-pathway-to-citizenship-for-illegal-immigrants.html
Dana Blanton,28/09/2017,fox-news,"Fox News Fox News Poll: Keep probing Russia interference, voters say Fox News Special counsel Robert Mueller departs after a closed-door meeting with members of the Senate Judiciary Committee this past June. (AP Photo/J. Scott Applewhite, File). Special Couns…","Fox News Poll: Keep probing Russia interference, voters say - Fox News",http://www.foxnews.com/politics/2017/09/28/fox-news-poll-keep-probing-russia-interference-voters-say.html
Associated Press,29/09/2017,fox-news,"On sidewalks, on median strips and amid the brick dust and rubble of buildings that collapsed in Mexico's magnitude 7.1 earthquake, impromptu memorials have sprung up across the capital as it begins to come to terms with its losses.",Memorials spring up at Mexico City's quake collapse sites,http://www.foxnews.com/world/2017/09/29/memorials-spring-up-at-mexico-citys-quake-collapse-sites.html
Fox News,29/09/2017,fox-news,"Fox News OJ Simpson not welcome in Florida, state AG says Fox News O.J. Simpson reacts after learning he was granted parole this past July. (Jason Bean/The Reno Gazette-Journal via AP). Florida's top law enforcement officer said Friday that there is ""no justi…","OJ Simpson not welcome in Florida, state AG says - Fox News",http://www.foxnews.com/us/2017/09/29/o-j-simpson-not-welcome-in-florida-state-ag-says.html
Associated Press,29/09/2017,fox-news,"Police in Canada have issued an arrest warrant for the Vatican diplomat who was recalled from the United States in a child pornography investigation, accusing him of downloading porn over Christmas last year.",Canada police seek recalled Vatican diplomat for child porn,http://www.foxnews.com/world/2017/09/29/canada-police-seek-recalled-vatican-diplomat-for-child-porn.html
Associated Press,30/09/2017,fox-news,"Air France says a passenger flight to California from Paris was forced to land in the Canadian province of Newfoundland and Labrador following ""serious damage"" to one of the plane's four engines.",Air France plane forced to land in Canada with engine damage,http://www.foxnews.com/world/2017/09/30/air-france-plane-forced-to-land-in-canada-with-engine-damage.html
Fox News,30/09/2017,fox-news,Fox News Tom Price's ouster complicates Republicans' latest health care push Fox News Here's a timeline of the events that led Health and Human Services Secretary Tom Price to resign over the 10 days since it was revealed that he used private charter and mili…,Tom Price's ouster complicates Republicans' latest health care push - Fox News,http://www.foxnews.com/politics/2017/09/30/tom-prices-ouster-complicates-republicans-latest-health-care-push.html
Fox News,30/09/2017,fox-news,"Monty Hall, best known as the co-creator and host of the game show ""Let's Make a Deal,"" died Saturday. He was 96.",'Let's Make A Deal' host Monty Hall dead at 96,http://www.foxnews.com/entertainment/2017/09/30/lets-make-deal-host-monty-hall-dead-at-96.html
Fox News,30/09/2017,fox-news,"At least 25 French soccer fans were injured, four of them seriously, after a barrier collapsed during a match Saturday.",At least 25 hurt at French soccer stadium after barrier collapse,http://www.foxnews.com/world/2017/09/30/at-least-25-hurt-at-french-soccer-stadium-after-barrier-collapse.html
Fox News,30/09/2017,fox-news,A Welsh international rugby player was forced to sit out a match in South Africa after he was bitten by a lion.,WATCH: Welsh rugby player bitten by lion in South Africa,http://www.foxnews.com/world/2017/09/30/watch-welsh-rugby-player-bitten-by-lion-in-south-africa.html
Fox News,30/09/2017,fox-news,"Fox News Florida nanny found dead, person of interest sought Fox News Scott Edward Nelson, left, was seen using an ATM card belonging to Jennifer Fulford, who was found dead Saturday. (Winter Park Police). The body of a missing Florida woman has been found an…","Florida nanny found dead, person of interest sought - Fox News",http://www.foxnews.com/us/2017/09/30/police-hunt-person-interest-in-florida-nanny-disappearance.html
Fox News,30/09/2017,fox-news,Spain's foreign minister vowed Saturday that a planned independence referendum in Catalonia would not take place as the Madrid government sought to dismantle the vote's IT systems.,Spain shuts down Catalonia independence vote technology as tensions rise,http://www.foxnews.com/world/2017/09/30/spain-shuts-down-catalonia-independence-vote-technology-as-tensions-rise.html
Associated Press,30/09/2017,fox-news,Greek police announced they have arrested eight migrant traffickers who reportedly smuggled 38 migrants through Greece's land border with Turkey.,Greek police arrest 8 smugglers who brought in 38 migrants,http://www.foxnews.com/world/2017/09/30/greek-police-arrest-8-smugglers-who-brought-in-38-migrants.html
Fox News,30/09/2017,fox-news,"Fox News Massachusetts woman hopes DNA solves teenage sister's 1978 murder Fox News A Massachusetts woman is hoping that DNA will solve her sister's murder nearly 40 years ago. Theresa Corley, 19, was raped and strangled and her naked body was found on the si…",Massachusetts woman hopes DNA solves teenage sister's 1978 murder - Fox News,http://www.foxnews.com/us/2017/09/30/massachusetts-woman-hopes-dna-solves-teenage-sisters-1978-murder.html
Fox News,30/09/2017,fox-news,"Cleveland Cavaliers owner Dan Gilbert has revealed that he received ""vile, disgusting"" voicemails after star LeBron James called President Donald Trump a ""bum"" on Twitter. James' message last weekend came in response to Trump rescinding an invitation for the …","LeBron James 'bum' tweet led to racist messages, Cavaliers owner says",http://www.foxnews.com/sports/2017/09/30/lebron-james-bum-tweet-led-to-racist-messages-cavaliers-owner-says.html
Associated Press,30/09/2017,fox-news,The leader of Lebanon's militant Hezbollah group has warned that a controversial referendum on support for independence in Iraq's Kurdistan will lead to dividing several countries in the region.,Hezbollah leader: Kurdish vote will sow division in region,http://www.foxnews.com/world/2017/09/30/hezbollah-leader-kurdish-vote-will-sow-division-in-region.html
Fox News,30/09/2017,fox-news,"Fox News Engine blowout forces Air France flight to divert to Newfoundland Fox News CBC News, citing air traffic control transmissions, reported that the plane landed in Goose Bay at around 1:40 p.m. local time and scattered debris across the runway. The runw…",Engine blowout forces Air France flight to divert to Newfoundland - Fox News,http://www.foxnews.com/travel/2017/09/30/engine-blowout-forces-air-france-flight-to-divert-to-newfoundland.html
Ben Evansky,01/10/2017,fox-news,"As President Donald Trump considers whether to certify to Congress the controversial 2015 nuclear deal with Iran, word that the United Nations’ nuclear watchdog can’t verify a crucial part of the agreement could tip the scales with time running out by the mid…",Russia giving cover to Iran could doom nuclear deal as Trump considers whether to certify,http://www.foxnews.com/world/2017/10/01/russia-giving-cover-to-iran-could-doom-nuclear-deal-as-trump-considers-whether-to-certify.html
Associated Press,01/10/2017,fox-news,"President Donald Trump says he's dedicating the Presidents Cup golf trophy to the people of Puerto Rico, Texas and Florida still recovering from recent hurricane devastation.","Trump says Puerto Rico relief effort 'under really great control,' dedicates golf trophy to victims",http://www.foxnews.com/politics/2017/10/01/trump-says-puerto-rico-relief-effort-under-really-great-control-dedicates-golf-trophy-to-victims.html
Associated Press,01/10/2017,fox-news,fox6now.com The Latest: 3 boys killed when car jumps Las Vegas sidewalk Fox News Police have identified a man accused of driving the car that fatally ran over a teenager and two younger boys while they were walking on a sidewalk in east Las Vegas. Metro Polic…,The Latest: 3 boys killed when car jumps Las Vegas sidewalk - Fox News,http://www.foxnews.com/us/2017/10/01/latest-3-boys-killed-when-car-jumps-las-vegas-sidewalk.html
Associated Press,01/10/2017,fox-news,"Fox News Kamala Harris at black church: US isn't as split as it seems Fox News ATLANTA – Making her first high-profile foray into the Southern black church, California Sen. Kamala Harris told a Georgia congregation founded by former freed slaves that the Unit…",Kamala Harris at black church: US isn't as split as it seems - Fox News,http://www.foxnews.com/politics/2017/10/01/kamala-harris-at-black-church-us-isnt-as-split-as-it-seems.html
Fox News,01/10/2017,fox-news,"Fox News Costco offers $1000 emergency food kit that lasts 25 years Fox News ""You add to that climate change, and terrorism, and the idea of nuclear war, which is very much in the news with North Korea, and they can develop a missile that might be able to hit…",Costco offers $1000 emergency food kit that lasts 25 years - Fox News,http://www.foxnews.com/food-drink/2017/10/01/costco-offers-1000-emergency-food-kit-that-lasts-25-years.html
Associated Press,01/10/2017,fox-news,"In Puerto Rico's hurricane-ravaged capital, Carmen Yulin Cruz is everywhere you go these days: handing out bags of ice, wading through chest-deep floodwaters, hugging people in need of comfort.",San Juan mayor in hurricane spotlight after Trump tweets,http://www.foxnews.com/world/2017/10/01/san-juan-mayor-in-hurricane-spotlight-after-trump-tweets.html
Fox News,01/10/2017,fox-news,Two women were stabbed to death Sunday in a suspected terrorist attack at the Marseille train station.,Man screaming 'Allahu Akbar' kills 2 women at Marseille train station in suspected terror attack,http://www.foxnews.com/world/2017/10/01/man-shot-dead-at-marseilles-train-station-after-knife-attack.html
Associated Press,01/10/2017,fox-news,Thousands of Poles are engaging in renewed protests of proposed changes to the judiciary in a sign of dissatisfaction with amended legislation submitted by President Andrzej Duda.,Poles dissatisfied with president-drafted judicial changes,http://www.foxnews.com/world/2017/10/01/poles-dissatisfied-with-president-drafted-judicial-changes.html
